Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3
X Zone,2020,97,Thriller,2.7,50,Faisal Kapdi,Kapil Arya,Hrishitaa Bhatt,Moin Khan
Dhira,2020,117,Animation,6.5,388,Arun Kumar Rapolu,Vivek Oberoi,Vijay Sethupathi,Sai Srinivas Bellamkonda
Sayonee,2020,111,"Action, Musical, Romance",7.6,566,Nitin Gupta,Abhay Singhal,Tanmay Ssingh,Musskan Sethi
Scorned,2020,104,Thriller,2.5,25,Tanveer Hashmi,Tanveer Hashmi,Pooja Joshi,Paras Randhawa
Choked,2020,114,Drama,5.8,"4,826",Anurag Kashyap,Saiyami Kher,Roshan Mathew,Amruta Subhash
Shukranu,2020,90,Drama,6.4,678,Bishnu Dev Halder,Divyendu Sharma,Shweta Basu Prasad,Sheetal Thakur
Shubh Raatri,2020,52,Horror,4.5,67,Pankaz Singh Tanwar,Simran Ahemad,Nemi Chand,Jaya Goswami
Shubh Mangal Zyada Saavdhan,2020,117,"Comedy, Romance",5.8,"8,208",Hitesh Kewalya,Ayushmann Khurrana,Jitendra Kumar,Gajraj Rao
Chote Nawab,2020,108,Drama,6.1,7,Kumud Chaudhary,Tulika Banerjee,Plabita Borthakur,Rajshri Deshpande
Serious Men,2020,114,"Comedy, Drama",6.8,"6,382",Sudhir Mishra,Sachin Krishn,Nawazuddin Siddiqui,Nassar
Class of 83,2020,98,"Action, Crime, Drama",5.8,"5,084",Atul Sabharwal,Bobby Deol,Anup Soni,Joy Sengupta
Comedy Couple,2020,117,"Comedy, Romance",7.7,"1,662",Nachiket Samant,Saqib Saleem,Shweta Basu Prasad,Pooja Bedi
Shakeela,2020,126,"Biography, Drama",3.2,528,Indrajit Lankesh,Pankaj Tripathi,Richa Chadha,Rajeev Pillai
Darbar,2020,159,"Action, Thriller",6.1,"5,175",A.R. Murugadoss,Rajinikanth,Nayanthara,Nivetha Thomas
Darbaan,2020,145,Drama,7.5,727,Bipin Nadkarni,Sharib Hashmi,Sharad Kelkar,Mukesh Ramani
Wanton,2020,90,"Crime, Thriller",4.5,124,Jaimin Bal,Aryan Neeraaj Anand,Vipin Bhardwaj,Pooja Chauhan
Shakuntala Devi,2020,127,"Biography, Drama",6.1,"8,456",Anu Menon,Vidya Balan,Adi Chugh,Sanya Malhotra
Cookie,2020,104,Horror,6.2,191,Lalit Marathe,Nabeel Ahmed,Amit Ashar,Bhavin Bhanushali
Coolie No 1,2020,134,"Action, Comedy, Romance",2.9,"56,232",David Dhawan,Varun Dhawan,Sara Ali Khan,Paresh Rawal
Shehri Gabru,2020,62,"Comedy, Crime",8.5,92,Saurabh Gulab Rao,Naman Bhati,Akshay Kaushal,Atul Kaushal
Shikara,2020,118,"Drama, History, Romance",3.8,"6,399",Vidhu Vinod Chopra,Sadia Khateeb,Aadil Khan,Zain Khan Durrani
Court Martial,2020,120,Drama,6.8,179,Sourabh Shrivastava,Karwarkar Bhavika,Saksham Dayma,Rajeev Khandelwal
Welcome Home,2020,126,"Crime, Drama, Horror",7.5,"2,413",Pushkar Mahabal,Kashmira Irani,Swarda Thigle,Shashi Bhushan
Chintu Ka Birthday,2020,80,"Drama, War",7.8,"4,063",Devanshu Singh,Satyanshu Singh,Vinay Pathak,Tillotama Shome
Dil Bechara,2020,101,"Comedy, Drama, Romance",6.6,"1,17,377",Mukesh Chhabra,Sushant Singh Rajput,Sanjana Sanghi,Sahil Vaid
Tanhaji The Unsung Warrior,2020,135,"Action, Biography, Drama",7.6,"22,344",Om Raut,Ajay Devgn,Saif Ali Khan,Sharad Kelkar
Captain Vidyut,2020,77,"Animation, Action, Comedy",7.7,11,Atish Tripathi,Namit Das,Trisha Kale,Suresh Menon
Ram Singh Charlie,2020,104,Drama,8,"1,272",Nitin Kakkar,Kumud Mishra,Divya Dutta,Salima Raza
Evil Eye,2020,90,"Horror, Mystery, Thriller",4.7,"2,958",Elan Dassani,Rajeev Dassani,Sarita Choudhury,Sunita Mani
English ki taay taay fisss,2020,137,"Comedy, Romance",6.1,11,Shailendra Singh Rajput,Aishwarya Rajesh Ash,Manoj Joshi,Leysan Karimova
Soorarai Pottru,2020,153,Drama,9.1,"83,029",Sudha Kongara,Suriya,Madhavan,Paresh Rawal
Wishlist,2020,93,Drama,4.8,122,Rahat Kazmi,Jitendra Rai,Hina Khan,Monica Aggarwal
Chaman Bahaar,2020,111,"Comedy, Drama",7,"5,866",Apurva Dhar Badgaiyann,Jitendra Kumar,Ritika Badiani,Bhuvan Arora
Ek Sainik  The Tale of a warrior,2020,45,"Action, Drama",8.2,17,Pratyush Sharma,Pratyush Sharma,Shivani Pathak,Priyom Gautam
Vilom,2020,82,Drama,6.2,56,Sunder Pal,Ambika Kamal,Manish Kumar,Navpreet Moti
Ek Battey Do,2020,100,Drama,8.5,6,Suzad Iqbal Khan,Abinash,Monika Chowdhury,Chandra Shekhar Dutta
Welcome on Board,2020,78,Drama,7.9,9,Mohsin Abrar,Bandana Basnett,Renuka Arora Bhagat,Muhammad Fazrul
Chhalaang,2020,136,"Comedy, Drama",6.8,"15,830",Hansal Mehta,Rajkummar Rao,Nushrat Bharucha,Mohd. Zeeshan Ayyub
Durgamati The Myth,2020,155,"Horror, Thriller",3.8,"4,976",Ashok G.,Bhumi Pednekar,Mahie Gill,Arshad Warsi
Virgin Bhanupriya,2020,111,"Comedy, Drama",2.9,"1,097",Ajay Lohan,Urvashi Rautela,Gautam Gulati,Rumana Molla
Chhapaak,2020,120,"Biography, Drama",5.1,"25,070",Meghna Gulzar,Deepika Padukone,Vikrant Massey,Madhurjeet Sarghi
London Confidental,2020,77,"Crime, Drama, Thriller",6.4,"1,653",Kanwal Sethi,Mouni Roy,Purab Kohli,Kiren Jogi
Doordarshan,2020,119,"Comedy, Drama",6.2,"1,336",Gagan Puri,Manu Rishi Chadha,Mahie Gill,Dolly Ahluwalia
Run Zindagi Run,2020,152,"Action, Crime, Thriller",7.5,8,Dinesh Parihar,Nitesh Shrivastava,Nidhi Shrivastava,Lokesh Gorker
Sab Kushal Mangal,2020,132,Romance,4.4,215,Karan Vishwanath Kashyap,Akshaye Khanna,Priyaank Sharma,Riva Kishan
Sadak 2,2020,133,"Action, Drama",1.1,"67,785",Mahesh Bhatt,Alia Bhatt,Priyanka Bose,Sanjay Dutt
Tallukh,2020,83,"Crime, Drama, Romance",5.4,56,Anurag Jha,Yash Krishnani,Anurag Jha,Harshita Awale
Shimla Mirchi,2020,129,"Comedy, Romance",4.6,"1,322",Ramesh Sippy,Hema Malini,Rajkummar Rao,Rakul Preet Singh
Happy Hardy and Heer,2020,123,"Comedy, Romance",5.9,580,Raka,Ashwin Dhar,Karen Elliot,Trupti Khamkar
No Mans Truth,2020,123,"Crime, Drama, Mystery",6.3,30,Marina Libik,Coral Bhamra,Chirag Saluja,Gaurav Kamble
The Journey Weekend Night,2020,122,Thriller,6.1,7,Shaik Khaja Hussain,Yash Agarwal,Imran Ali,Arti Gaikwad
The Hundred Bucks,2020,102,Drama,6.8,10,Dushyant Pratap Singh,Kavita Tripathi,Rajesh Mishra,Dinesh Bawara
Mrs Serial Killer,2020,106,"Crime, Drama, Thriller",4.8,"11,531",Shirish Kunder,Jacqueline Fernandez,Manoj Bajpayee,Mohit Raina
Astounding Courage in Distress,2020,102,Family,7.3,33,Priyanka Singh,Mansinghms,Indu Prasad,Man Singh
The Hidden Strike,2020,100,War,3.5,41,Suzad Iqbal Khan,Deepraj Rana,Mir Sarwar,Jimmy Sharma
The Grey,2020,90,"Drama, Mystery",6.5,60,Tushar Waghela,Tarush Waghela,Vishay Waghela,Yashwant Anand Gupta
Malang,2020,135,"Action, Crime, Drama",6.5,"8,972",Mohit Suri,Aditya Roy Kapoor,Anil Kapoor,Disha Patani
Unpaused,2020,113,"Drama, Romance",7,"2,057",Nikkhil Advani,Avinash Arun,Tannishtha Chatterjee,Krishna D.K.
A Game Called Relationship,2020,109,"Comedy, Romance",6.3,181,Vivek Sharma,Mandy Takhar,Vivek Sharma,Sumit Suri
Khuda Haafiz,2020,133,"Action, Adventure, Drama",7.4,"16,142",Faruk Kabir,Vidyut Jammwal,Shivaleeka Oberoi,Annu Kapoor
Jawaani Jaaneman,2020,119,"Comedy, Drama",6.6,"6,371",Nitin Kakkar,Saif Ali Khan,Alaya F,Tabu
My Clients Wife,2020,106,"Mystery, Thriller",6.2,672,Prabhakar Meena Bhaskar Pant,Sharib Hashmi,Pushkar Bhaskar Pant,Anjali Patil
Jai Mummy Di,2020,103,"Comedy, Drama, Romance",3.6,827,Navjot Gulati,Poonam Dhillon,Supriya Pathak,Sunny Singh Nijjar
376 D,2020,128,"Crime, Thriller",5.7,252,Gunveen Kaur,Robin Sikarwar,Vivek Kumar,Deeksha Joshi
Amar Prem,2020,143,Drama,4.4,25,Tanveer Hashmi,Chandrima Banerjee,Kundan Bhardwaj,Sufi
Ateet,2020,120,Thriller,4.3,204,Tanuj Bhramar,Rajeev Khandelwal,Priyamani,Sanjay Suri
Khaali Peeli,2020,119,"Action, Comedy, Romance",2.3,"8,106",Maqbool Khan,Ishaan Khattar,Ananya Panday,Jaideep Ahlawat
Atithi Kab Aoge Shhamshan,2020,135,Comedy,5.9,7,Vipin k Sethie,Manoj Bakshi,Vipin k Sethie,Avnish Pawar
All Ladies Do It,2020,97,Thriller,7.9,384,Akhil Gautam,Akhil Gautam,Ajay Bafna,Vikas Sachdeva
The Shepherdess and the Seven Songs,2020,96,Drama,6.7,87,Pushpendra Singh,Shahnawaz Bhat,Sadakkit Bijran,Ranjit Khajuria
The Reluctant Crime,2020,113,Drama,9.4,16,Arvind Pratap,Dharmendra Ahir,Awanish Kotnal,Rakhi Mansha
Mee Raqsam,2020,80,Drama,6.7,384,Baba Azmi,Juhaina Ahsan,Shivangi Gautam,Danish Husain
Awasaan,2020,101,Drama,8.7,21,Rajat Kumar Chaturvedi,Arjun Chakrabarty,Trishala Idnani,Sarvagya Jain
Maska,2020,111,"Comedy, Drama, Romance",5.8,"1,317",Neeraj Udhwani,Prit Kamani,Manisha Koirala,Shirley Setia
Mera Ramrajya Nai Kranti,2020,162,Drama,8.8,16,Shyam Bharteey,Shyam Bharteey,Ashwin Krishna Gaur,Aman Gupta
Milestone,2020,98,Drama,6.6,411,Ivan Ayr,Mohinder Gujral,Pavitra Mattoo,Lakshvir Saran
Kehta Hai Yeh Dil,2020,116,"Comedy, Drama",3.3,10,R.k. Sharma,Ranbeeir Kalsi,Sharvani Sahay,Elena Tuteja
The Pushkar Lodge,2020,115,Drama,8.6,14,Vijay Suthar,Anil Chahar,Sachin Chaudhary,Yashvi Chhabra
